title,year,actor,country,describe,genre,num,rating
素媛,2013,导演: 李濬益 Jun-ik Lee??????主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,韩国,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,剧情,349012人评价,9.2
辩护人,2013,导演: 杨宇硕 Woo-seok Yang??????主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,韩国,电影的现实意义大过电影本身。,剧情,361894人评价,9.2
窃听风暴,2006,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck????&n...,德国,别样人生。,剧情 悬疑,355659人评价,9.1
死亡诗社,1989,导演: 彼得·威尔 Peter Weir??????主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,美国,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,剧情,433099人评价,9.1
何以为家,2018,导演: 娜丁·拉巴基 Nadine Labaki??????主演: 扎因·拉费阿 Zain al-Rafeea / ...,黎巴嫩 法国 美国,凝视卑弱生命，用电影改变命运。,剧情,418299人评价,9.1
两杆大烟枪,1998,导演: Guy Ritchie??????主演: Jason Flemyng / Dexter Fletcher / Nick Moran,英国,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,剧情 喜剧 犯罪,382810人评价,9.1
指环王2：双塔奇兵,2002,导演: 彼得·杰克逊 Peter Jackson??????主演: 伊利亚·伍德 Elijah Wood / 西恩...,美国 新西兰,承前启后的史诗篇章。,剧情 动作 奇幻 冒险,420920人评价,9
飞越疯人院,1975,导演: 米洛斯·福尔曼 Milo?? Forman??????主演: 杰克·尼科尔森 Jack Nichols...,美国,自由万岁。,剧情,387099人评价,9.1
教父2,1974,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola??????主演: 阿尔·帕西诺 A...,美国,优雅的孤独。,剧情 犯罪,308269人评价,9.2
狮子王,1994,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff??????主演: 乔纳森·泰勒·托马...,美国,动物版《哈姆雷特》。,动画 冒险 歌舞,467222人评价,9
指环王1：魔戒再现,2001,导演: 彼得·杰克逊 Peter Jackson??????主演: 伊利亚·伍德 Elijah Wood / 西恩...,新西兰 美国,传说的开始。,剧情 动作 奇幻 冒险,472938人评价,9
V字仇杀队,2005,导演: 詹姆斯·麦克特格 James McTeigue??????主演: 娜塔莉·波特曼 Natalie Por...,美国 英国 德国,一张面具背后的理想与革命。,剧情 动作 科幻 惊悚,665126人评价,8.9
美丽心灵,2001,导演: 朗·霍华德 Ron Howard??????主演: 罗素·克劳 Russell Crowe / 艾德·哈...,美国,爱是一切逻辑和原由。,传记 剧情,464348人评价,9
饮食男女,1994,导演: 李安 Ang Lee??????主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,中国台湾 美国,人生不能像做菜，把所有的料都准备好了才下锅。,剧情 家庭,331136人评价,9.1
大闹天宫,1961(中国大陆),导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang??????主演: 邱岳峰 Yuefeng Qiu /...,1964(中国大陆),经典之作，历久弥新。,1978(中国大陆),206913人评价,9.3
哈利·波特与魔法石,2001,导演: Chris Columbus??????主演: Daniel Radcliffe / Emma Watson / Rupert Grint,美国 英国,童话世界的开端。,奇幻 冒险,503887人评价,8.9
海豚湾,2009,导演: 路易·西霍尤斯 Louie Psihoyos??????主演: Richard O'Barry / 路易·西霍...,美国,海豚的微笑，是世界上最高明的伪装。,纪录片,255049人评价,9.3
钢琴家,2002,导演: 罗曼·波兰斯基 Roman Polanski??????主演: 艾德里安·布洛迪 Adrien Brod...,法国 德国 英国 波兰,音乐能化解仇恨。,剧情 传记 历史 战争 音乐,308134人评价,9.1
